timestamp,plate,route,FL,FR,RL,RR,compartment_temp,reefer_status
2026-05-20 06:00:00,京A12345,R001,5.2,5.3,5.1,5.2,-18.0,ON
2026-05-20 06:10:00,京A12345,R001,5.2,5.3,5.1,5.2,-18.2,ON
2026-05-20 06:20:00,京A12345,R001,5.1,5.3,5.0,5.2,-18.5,ON
2026-05-20 06:30:00,京A12345,R001,5.1,5.2,5.0,5.1,-18.3,ON
2026-05-20 06:40:00,京A12345,R001,5.0,5.2,4.9,5.1,-18.0,ON
2026-05-20 06:50:00,京A12345,R001,5.0,5.1,4.8,5.0,-18.2,ON
2026-05-20 07:00:00,京A12345,R001,4.9,5.1,4.8,5.0,-18.5,ON
2026-05-20 07:10:00,京A12345,R001,4.9,5.0,4.7,4.9,-18.3,ON
2026-05-20 07:20:00,京A12345,R001,4.8,5.0,4.7,4.9,-18.0,ON
2026-05-20 07:30:00,京A12345,R001,4.8,4.9,4.6,4.8,-18.2,ON
