timestamp,plate,route,FL,FR,RL,RR,compartment_temp,reefer_status
2026-05-20 06:00:00,京B67890,R002,5.5,5.4,5.3,5.4,-20.0,ON
2026-05-20 06:10:00,京B67890,R002,5.5,5.4,5.3,5.4,-20.2,ON
2026-05-20 06:20:00,京B67890,R002,5.4,5.4,5.2,5.3,-20.5,ON
2026-05-20 06:30:00,京B67890,R002,5.4,5.3,5.2,5.3,-15.0,OFF
2026-05-20 06:40:00,京B67890,R002,5.3,5.3,5.1,5.2,-10.0,ON
2026-05-20 06:50:00,京B67890,R002,5.3,5.2,5.1,5.2,-18.0,OFF
2026-05-20 07:00:00,京B67890,R002,5.3,5.2,5.1,5.2,-14.0,ON
2026-05-20 07:10:00,京B67890,R002,5.2,5.2,5.0,5.1,-12.0,OFF
2026-05-20 07:20:00,京B67890,R002,5.2,5.1,5.0,5.1,-16.0,ON
2026-05-20 07:30:00,京B67890,R002,5.2,5.1,5.0,5.1,-19.0,ON
