筛查规则
胎压下限: 4.5 bar
胎压上限: 8.0 bar
温度波动阈值: ±3.0°C
胎压传感器跳变阈值: 3.0 bar
温度传感器跳变阈值: 10.0°C
行程切分间隔: 30.0 min
最短异常片段时长: 2.0 min
启用单点异常保留: 是

车牌,线路,开始时间,持续分钟,异常轮位,厢温变化(°C),冷机启停次数,异常分类,详情
京B67890,R002,2026-06-20 06:30:00,30.0,,+1.00,3,单纯温度波动,厢温波动+1.0°C，冷机启停3次，未关联胎压异常。建议复核：开门记录、环境温度、装载作业。
京A12345,R001,2026-06-20 07:20:00,50.0,"FL,RL",+0.00,5,疑似胎压拖累制冷,轮位FL、RL胎压异常，厢温偏移+0.0°C，冷机启停5次，疑似胎压拖累制冷效率。建议复核：轮位实际气压、冷机制冷电流。
京B67890,R002,2026-06-20 07:20:00,10.0,,-3.00,0,单纯温度波动,厢温波动-3.0°C，冷机启停0次，未关联胎压异常。建议复核：开门记录、环境温度、装载作业。
京D99999,R004,2026-06-20 10:30:00,10.0,FL,+0.30,0,传感器可能失准,FL5.2bar→1.5bar(Δ-3.7)；FL1.5bar→5.2bar(Δ+3.7)。建议复核：检查传感器线缆、采集频率及前后采样读数。
