筛查规则
规则来源链: 默认规则
tire_low: 4.5
tire_high: 8.0
temp_fluctuation: 3.0
sensor_jump_pressure: 3.0
sensor_jump_temp: 10.0
trip_gap_minutes: 30.0
min_segment_minutes: 2.0
enable_single_point_anomaly: True
"已配置线路覆盖: R001, R007"

车牌,线路,开始时间,持续分钟,异常轮位,厢温变化(°C),冷机启停次数,异常分类,详情
京B67890,R002,2026-06-20 06:30:00,30.0,,+1.00,3,单纯温度波动,单纯温度波动。厢温波动+1.0°C；冷机启停3次；建议复核：开门记录、环境温度、装载作业。
京A12345,R001,2026-06-20 06:40:00,90.0,"FL,FR,RL,RR",+2.50,8,疑似胎压拖累制冷,疑似胎压拖累制冷。异常轮位: FL、FR、RL、RR；厢温偏移+2.5°C；冷机启停8次；建议复核：轮位实际气压、冷机制冷电流。
京B67890,R002,2026-06-20 07:20:00,10.0,,-3.00,0,单纯温度波动,单纯温度波动。厢温波动-3.0°C；冷机启停0次；建议复核：开门记录、环境温度、装载作业。
京D99999,R004,2026-06-20 10:30:00,10.0,FL,+0.30,0,传感器可能失准,传感器可能失准。跳变: FL5.2bar→1.5bar(Δ-3.7)；FL1.5bar→5.2bar(Δ+3.7)；异常轮位: FL；建议复核：检查传感器线缆、采集频率及前后采样读数。
