timestamp,plate,route,FL,FR,RL,RR,compartment_temp,reefer_status
2026-06-20 05:30:00,京C55555,R003,5.5,5.4,5.3,5.4,-19.0,ON
2026-06-20 05:40:00,京C55555,R003,5.5,5.4,5.3,5.4,-19.2,ON
2026-06-20 05:50:00,京C55555,R003,5.5,5.4,5.3,5.4,-19.5,ON
2026-06-20 06:00:00,京C55555,R003,5.5,5.4,5.3,5.4,-19.3,ON
2026-06-20 06:10:00,京C55555,R003,5.4,5.3,5.2,5.3,-19.0,ON
2026-06-20 06:20:00,京C55555,R003,5.4,5.3,5.2,5.3,-19.5,ON
2026-06-20 06:30:00,京C55555,R003,5.4,5.3,5.2,5.3,-19.8,ON
2026-06-20 06:40:00,京C55555,R003,5.3,5.3,5.1,5.2,-20.0,ON
2026-06-20 06:50:00,京C55555,R003,5.3,5.2,5.1,5.2,-20.2,ON
2026-06-20 07:00:00,京C55555,R003,5.3,5.2,5.1,5.2,-20.5,ON
2026-06-20 07:10:00,京C55555,R003,5.2,5.2,5.0,5.1,-20.3,ON
2026-06-20 07:20:00,京C55555,R003,5.2,5.1,5.0,5.1,-20.0,ON
